Title,Views,Duration,Link
All Your Queries Answered | DSA to Development Program | GeeksforGeeks,668 views,3:47,https://www.youtube.com/watch?v=kHBzDvj3D2U
10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,681 views,9:53,https://www.youtube.com/watch?v=2QDMIZGeIC4
Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,508 views,0:56,https://www.youtube.com/watch?v=1ECMlxC6jbs
Master System Design | GeeksforGeeks,7.2K views,0:46,https://www.youtube.com/watch?v=vjWLZYeqiN8
"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",440 views,45:44,https://www.youtube.com/watch?v=6e0v_NhsFMQ
Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,596 views,1:29:21,https://www.youtube.com/watch?v=-7Emxpn8DXc
GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,9K views,0:28,https://www.youtube.com/watch?v=2bPiFkt3Nmg
Kickstart your DevOps Career | GeeksforGeeks,14K views,0:30,https://www.youtube.com/watch?v=8gwwlpBwr_s
First Ever KBC at our Offline Classes | GeeksforGeeks,601 views,0:37,https://www.youtube.com/watch?v=chYg2EAKW2A
Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,1K views,0:36,https://www.youtube.com/watch?v=CyOh-WDfUvs
Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,600 views,2:51,https://www.youtube.com/watch?v=GDeoPHRqb5w
Geek-O-Lympics 2023 | GeeksforGeeks,3.3K views,0:46,https://www.youtube.com/watch?v=hLqJiIu6LzY
Web 3.0 Explained | GeeksforGeeks,1.5K views,17:08,https://www.youtube.com/watch?v=zEPRJMk3p90
Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,1.1K views,0:10,https://www.youtube.com/watch?v=GSqepfZLKU0
What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,1K views,2:47,https://www.youtube.com/watch?v=MK15a0ipg-E
Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,1.1K views,0:56,https://www.youtube.com/watch?v=cWPqVVobUuA
DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,50K views,0:43,https://www.youtube.com/watch?v=phr8lXH2Ee0
What is Queue (Updated) | Queues Explained | GeeksforGeeks,968 views,8:50,https://www.youtube.com/watch?v=ypJwoz_SXTo
Queue Practice Questions (Updated) | DSA Concepts | GeeksforGeeks,1K views,12:14,https://www.youtube.com/watch?v=KG4dbF5xRig
Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,106K views,0:37,https://www.youtube.com/watch?v=OOLXHwZzHfM
Python Libraries | Data Science | GeeksforGeeks,1.3K views,1:26,https://www.youtube.com/watch?v=nDa75spDmeE
ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,939 views,5:40,https://www.youtube.com/watch?v=SWa-tsbaIpg
Full Stack Development | LIVE Classes | GeeksforGeeks,92K views,0:35,https://www.youtube.com/watch?v=cBfC9HLR9Qk
GeeksforGeeks Classroom Program in NCR,2.4K views,0:37,https://www.youtube.com/watch?v=uEhnTpHY26o
What is Arrays | Arrays Explained | New Video - GeeksforGeeks,2.5K views,9:48,https://www.youtube.com/watch?v=3_x_Fb31NLE
Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,2.7K views,10:48,https://www.youtube.com/watch?v=J7EhXvnixRM
Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,28K views,0:52,https://www.youtube.com/watch?v=G-3vZKPEtKw
Get Started with CP | Competitive Programming Tips | GeeksforGeeks,2.3K views,1:39,https://www.youtube.com/watch?v=FCEj-mreXvI
React VS Angular VS Vue | GeeksforGeeks,3K views,1:35,https://www.youtube.com/watch?v=sA2vgFR-fZc
GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,112K views,0:38,https://www.youtube.com/watch?v=16D2cuRy5JY
Transformers in NLP | GeeksforGeeks,2.2K views,28:45,https://www.youtube.com/watch?v=-eqjV5dwb9Q
Jobs that AI can't replace | GeeksforGeeks,3.1K views,3:17,https://www.youtube.com/watch?v=uY05MFnSMwU
Job Fair for Students | Till 25th May Only | GeeksforGeeks,82K views,0:39,https://www.youtube.com/watch?v=1GEegOb3fHE
"Flutter: ""Pros and Cons"" | GeeksforGeeks",2.6K views,8:44,https://www.youtube.com/watch?v=0gnaXUiSELY
Hire Best Talent with GeeksforGeeks,14K views,0:54,https://www.youtube.com/watch?v=xifGlf39ahQ
Tech Jobs without Degree | GeeksforGeeks,1.3K views,2:03,https://www.youtube.com/watch?v=5jHvfzt8Ors
Start your writing Journey | Geek Author Badges | GeeksforGeeks,1.2K views,1:12,https://www.youtube.com/watch?v=ISPOKldx90E
Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,1.1K views,0:56,https://www.youtube.com/watch?v=kW9BohViP04
Create Your Own Apps Today | GeeksforGeeks,34K views,0:38,https://www.youtube.com/watch?v=LycNCWC3g18
Top 10 DSA Topics | Master these To Ace In Your Career | GeeksforGeeks,2.4K views,5:38,https://www.youtube.com/watch?v=t8aN8nczZlA
Ernie vs ChatGPT | GeeksforGeeks,1K views,1:32,https://www.youtube.com/watch?v=iM-EpJHn59Q
Rule the Coding World with Geek Summer Carnival | GeeksforGeeks,25K views,0:42,https://www.youtube.com/watch?v=zLj3Qb9T2Q4
How to become a Full Stack Developer | GeeksforGeeks,4.7K views,11:57,https://www.youtube.com/watch?v=uSx5XsCkX3c
Office Video Leaked ðŸ˜°ðŸ¤¯,5.2K views,1:35,https://www.youtube.com/watch?v=i_HlQl7Tg9Q
UI/UX Trends every Startup must know! | @thegeekmonk1707 |GeeksforGeeks,1K views,2:03,https://www.youtube.com/watch?v=_E6_jZJAT3k
Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,14K views,16:45,https://www.youtube.com/watch?v=TASew4CmC9w
How to Use GPT 4 | How it's better from GPT 3 | GeeksforGeeks,3.9K views,3:42,https://www.youtube.com/watch?v=Mnx3TAgbX7o
Master DSA Today and be the Masters of Tomorrow,74K views,0:25,https://www.youtube.com/watch?v=PsOXP5hg52w
How to avoid getting Laid Off | ft. Dr. Sneha Sharma,1.1K views,31:37,https://www.youtube.com/watch?v=s4frRcj17AM
Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,847 views,19:28,https://www.youtube.com/watch?v=0oPyv39ynTo
CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,5.8K views,31:56,https://www.youtube.com/watch?v=5uAFQqdS9oA
Advice for Women in Tech | ft. @PriyaVajpeyi,1.5K views,11:55,https://www.youtube.com/watch?v=tn5BHjwAvTc
Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,1.7K views,18:30,https://www.youtube.com/watch?v=nRbR9A_8nMQ
Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,1.4K views,1:05,https://www.youtube.com/watch?v=RQuaGniMRUU
Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,2.4K views,0:47,https://www.youtube.com/watch?v=p0FQuaFLh0A
GeeksforGeeks Job Fair 2023,25K views,0:31,https://www.youtube.com/watch?v=xIC1IFPod9Y
OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,1.9K views,35:45,https://www.youtube.com/watch?v=2RcaFQzCgys
Get Started With Machine Learning | GeeksforGeeks,1.6K views,15:30,https://www.youtube.com/watch?v=RSVndjS2gMM
ðŸŽŠCelebrating Bi-Wizard's First AnniversaryðŸŽŠ | Join the Best Young Coders in the World,613 views,0:31,https://www.youtube.com/watch?v=D8aEoRbwC64
"Meet Shikar Goel, CTO of GeeksforGeeks | Know His Journey",1.6K views,37:22,https://www.youtube.com/watch?v=d2zk6YEqGsM
An Opportunity for Recruiters to Hire Top Tech Talent | Jobs Fair 2023 | GeeksforGeeks,1.7K views,0:26,https://www.youtube.com/watch?v=RbQt5dz8Dws
A.I. Apps That Can Change Your Lives | GeeksforGeeks,2.8K views,3:30,https://www.youtube.com/watch?v=kApRNheEJ8Q
Roadmap To Master Recursion? Roadmap To Master Recursion! | GeeksforGeeks,2.4K views,1:52,https://www.youtube.com/watch?v=51JvvwqQmlQ
CodeCast Ep. 2 | SDE Without A Technical Degree? | GeeksforGeeks,1.9K views,6:55,https://www.youtube.com/watch?v=XlcpYRp0ouc
The Art of Becoming a Successful Coder | GeeksforGeeks,6.7K views,15:06,https://www.youtube.com/watch?v=jO2SyGwS4bA
Optimal Way to Get Started with DSA | GeeksforGeeks,7.1K views,2:41,https://www.youtube.com/watch?v=-WLD1oY2dB4
Mistakes to Avoid in Your Next Job Interview | GeeksforGeeks,1.5K views,1:02,https://www.youtube.com/watch?v=1uO3E57gPpE
Master These Coding Practices For Your Placement Preparation | GeeksforGeeks,5.4K views,3:58,https://www.youtube.com/watch?v=v_mlqwjlv00
Correct Your Mistakes in 1 minute | Data Science | GeeksforGeeks,1.2K views,0:46,https://www.youtube.com/watch?v=vNiiuh__7u0
CodeCast Ep. 1 | Journey From A Vegetable Seller To A 10LPA+ Job | GeeksforGeeks,2.4K views,7:19,https://www.youtube.com/watch?v=ksRDXChKN70
LIVE DSA Sessions By Everyone's Favorite Teacher!,4.7K views,0:32,https://www.youtube.com/watch?v=qCioG1rwM6I
